Year,Month,Flights
2003,January,10000
2003,February,10500
2003,March,11000
2003,April,11500
2003,May,12000
2003,June,12500
2003,July,13000
2003,August,13500
2003,September,14000
2003,October,14500
2003,November,15000
2003,December,15500
2004,January,10500
2004,February,11000
2004,March,11500
2004,April,12000
2004,May,12500
2004,June,13000
2004,July,13500
2004,August,14000
2004,September,14500
2004,October,15000
2004,November,15500
2004,December,16000
2005,January,11000
2005,February,11500
2005,March,12000
2005,April,12500
2005,May,13000
2005,June,13500
2005,July,14000
2005,August,14500
2005,September,15000
2005,October,15500
2005,November,16000
2005,December,16500
2006,January,11500
2006,February,12000
2006,March,12500
2006,April,13000
2006,May,13500
2006,June,14000
2006,July,14500
2006,August,15000
2006,September,15500
2006,October,16000
2006,November,16500
2006,December,17000
2007,January,12000
2007,February,12500
2007,March,13000
2007,April,13500
2007,May,14000
2007,June,14500
2007,July,15000
2007,August,15500
2007,September,16000
2007,October,16500
2007,November,17000
2007,December,17500
2008,January,12500
2008,February,13000
2008,March,13500
2008,April,14000
2008,May,14500
2008,June,15000
2008,July,15500
2008,August,16000
2008,September,16500
2008,October,17000
2008,November,17500
2008,December,18000
2009,January,13000
2009,February,13500
2009,March,14000
2009,April,14500
2009,May,15000
2009,June,15500
2009,July,16000
2009,August,16500
2009,September,17000
2009,October,17500
2009,November,18000
2009,December,18500
2010,January,13500
2010,February,14000
2010,March,14500
2010,April,15000
2010,May,15500
2010,June,16000
2010,July,16500
2010,August,17000
2010,September,17500
2010,October,18000
2010,November,18500
2010,December,19000
2011,January,14000
2011,February,14500
2011,March,15000
2011,April,15500
2011,May,16000
2011,June,16500
2011,July,17000
2011,August,17500
2011,September,18000
2011,October,18500
2011,November,19000
2011,December,19500
2012,January,14500
2012,February,15000
2012,March,15500
2012,April,16000
2012,May,16500
2012,June,17000
2012,July,17500
2012,August,18000
2012,September,18500
2012,October,19000
2012,November,19500
2012,December,20000
2013,January,15000
2013,February,15500
2013,March,16000
2013,April,16500
2013,May,17000
2013,June,17500
2013,July,18000
2013,August,18500
2013,September,19000
2013,October,19500
2013,November,20000
2013,December,20500
2014,January,15500
2014,February,16000
2014,March,16500
2014,April,17000
2014,May,17500
2014,June,18000
2014,July,18500
2014,August,19000
2014,September,19500
2014,October,20000
2014,November,20500
2014,December,21000
2015,January,16000
2015,February,16500
2015,March,17000
2015,April,17500
2015,May,18000
2015,June,18500
2015,July,19000
2015,August,19500
2015,September,20000
2015,October,20500
2015,November,21000
2015,December,21500
2016,January,16500
2016,February,17000
2016,March,17500
2016,April,18000
2016,May,18500
2016,June,19000
2016,July,19500
2016,August,20000
2016,September,20500
2016,October,21000
2016,November,21500
2016,December,22000
2017,January,17000
2017,February,17500
2017,March,18000
2017,April,18500
2017,May,19000
2017,June,19500
2017,July,20000
2017,August,20500
2017,September,21000
2017,October,21500
2017,November,22000
2017,December,22500
2018,January,17500
2018,February,18000
2018,March,18500
2018,April,19000
2018,May,19500
2018,June,20000
2018,July,20500
2018,August,21000
2018,September,21500
2018,October,22000
2018,November,22500
2018,December,23000
2019,January,18000
2019,February,18500
2019,March,19000
2019,April,19500
2019,May,20000
2019,June,20500
2019,July,21000
2019,August,21500
2019,September,22000
2019,October,22500
2019,November,23000
2019,December,23500
2020,January,18500
2020,February,19000
2020,March,19500
2020,April,20000
2020,May,20500
2020,June,21000
2020,July,21500
2020,August,22000
2020,September,22500
2020,October,23000
2020,November,23500
2020,December,24000
2021,January,19000
2021,February,19500
2021,March,20000
2021,April,20500
2021,May,21000
2021,June,21500
2021,July,22000
2021,August,22500
2021,September,23000
2021,October,23500
2021,November,24000
2021,December,24500
2022,January,19500
2022,February,20000
2022,March,20500
2022,April,21000
2022,May,21500
2022,June,22000
2022,July,22500
2022,August,23000
2022,September,23500
2022,October,24000
2022,November,24500
2022,December,25000
2023,January,20000
2023,February,20500
2023,March,21000
2023,April,21500
2023,May,22000
2023,June,22500
2023,July,23000
2023,August,23500
2023,September,24000
2023,October,24500
2023,November,25000
2023,December,25500
